BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204_bounded_58-251|SP_cTP_algae	BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204_bounded_58-251|SP_cTP_algae
BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204_bounded_58-251|SP_cTP_algae	CAL1168149.1_to_K04564_258_bounded_58-250|SP_cTP_algae
BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204_bounded_58-251|SP_cTP_algae	CAMXCT020006499.1_K04564_88d2492d_with_leader_u55_PF00081_M_to_K04564_203_bounded_58-250|SP_cTP_algae
BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204_bounded_58-251|SP_cTP_algae	orbicella_symb_TRINITY_DN188752_c0_g3_i1.p1_to_K04564_260_bounded_58-250|SP_cTP_algae
BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204_bounded_58-251|SP_cTP_algae	c_goreaui_TRINITY_DN626_c0_g1_i2.p1_to_K04564_256_bounded_56-248|SP_cTP_algae
BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204_bounded_58-251|SP_cTP_algae	c_goreaui_TRINITY_DN626_c0_g1_i4.p1_to_K04564_258_bounded_56-248|SP_cTP_algae
CAL1168155.1_to_K04564_293_bounded_58-250|SP_cTP_algae	CAL1168155.1_to_K04564_293_bounded_58-250|SP_cTP_algae
CAL1168155.1_to_K04564_293_bounded_58-250|SP_cTP_algae	CAMXCT020000624.1_K04564_b4735730_with_leader_u53_PF00081_M_to_K04564_203_bounded_56-248|SP_cTP_algae
CAL1168155.1_to_K04564_293_bounded_58-250|SP_cTP_algae	CAMXCT020006499.1_K04564_c81ee4b4_with_leader_u55_PF00081_M_to_K04564_203_bounded_58-250|SP_cTP_algae
CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u52_PF00081_M_to_K04564_203_bounded_55-247|SP_cTP_algae	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u52_PF00081_M_to_K04564_203_bounded_55-247|SP_cTP_algae
CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u52_PF00081_M_to_K04564_203_bounded_55-247|SP_cTP_algae	CAK9113181.1_to_K04564_257_bounded_55-247|SP_cTP_algae
CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u52_PF00081_M_to_K04564_203_bounded_55-247|SP_cTP_algae	TRINITY_DN30502_c0_g1_i1.p1_to_K04564_270_bounded_68-260|SP_cTP_algae
orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1_with_leader_u58_PF00081_M_to_K04564_282_bounded_61-253|SP_cTP_algae	orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1_with_leader_u58_PF00081_M_to_K04564_282_bounded_61-253|SP_cTP_algae
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u60_PF00081_M_to_K04564_278_bounded_63-255|SP_cTP_algae	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u60_PF00081_M_to_K04564_278_bounded_63-255|SP_cTP_algae
OLP79028.1_with_leader_u20_PF00081_M_to_K04564_1017_bounded_23-219|SP_algae	OLP79028.1_with_leader_u20_PF00081_M_to_K04564_1017_bounded_23-219|SP_algae
CAK9100252.1_to_K04564_230_bounded_24-220|SP_algae	CAK9100252.1_to_K04564_230_bounded_24-220|SP_algae
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_to_K04564_227_bounded_19-217|SP_algae	siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_to_K04564_227_bounded_19-217|SP_algae
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_to_K04564_227_bounded_19-217|SP_algae	pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1_with_leader_u16_PF00081_M_to_K04564_250_bounded_19-217|SP_algae
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236_bounded_30-226|SP_algae	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236_bounded_30-226|SP_algae
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236_bounded_30-226|SP_algae	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_with_leader_u20_PF00081_M_to_K04564_236_bounded_23-219|SP_algae
