protein accession	genome accession	sequence accession	start label	start aa 1b	protein start aa 1b	end aa 1b
KAJ7327739.1	GCA_029204205.1	KAJ7327739.1		1	1	
KAJ7370639.1	GCA_029204205.1	KAJ7370639.1		1	1	
KAJ7382584.1	GCA_029204205.1	KAJ7382584.1		1	1	
KAK2547435.1	GCA_032359415.1	KAK2547435.1		1	1	
KAK2560421.1	GCA_032359415.1	KAK2560421.1		1	1	
KAK2571733.1	GCA_032359415.1	KAK2571733.1		1	1	
KAK3752147.1	GCA_033675265.1	KAK3752147.1		1	1	
CAB3978657.1	GCA_902702795.2	CAB3978657.1		1	1	
CAB3990558.1	GCA_902702795.2	CAB3990558.1		1	1	
CAB4017743.1	GCA_902702795.2	CAB4017743.1		1	1	
CAB4019158.1	GCA_902702795.2	CAB4019158.1		1	1	
CAB4028514.1	GCA_902702795.2	CAB4028514.1		1	1	
CAH3014298.1	GCA_942486025.1	CAH3014298.1		1	1	
CAH3018195.1	GCA_942486025.1	CAH3018195.1		1	1	
CAH3019835.1	GCA_942486025.1	CAH3019835.1		1	1	
CAH3039007.1	GCA_942486035.1	CAH3039007.1		1	1	
CAH3044481.1	GCA_942486035.1	CAH3044481.1		1	1	
CAH3159596.1	GCA_942486035.1	CAH3159596.1		1	1	
CAH3181277.1	GCA_942486035.1	CAH3181277.1		1	1	
CAH3039501.1	GCA_942486045.1	CAH3039501.1		1	1	
CAH3158320.1	GCA_942486045.1	CAH3158320.1		1	1	
CAH3168733.1	GCA_942486045.1	CAH3168733.1		1	1	
XP_032219982.1	GCF_000209225.1	XP_032219982.1		1	1	
XP_032225512.1	GCF_000209225.1	XP_032225512.1		1	1	
XP_015748589.1	GCF_000222465.1	XP_015748589.1		1	1	
XP_020895395.1	GCF_001417965.1	XP_020895395.1		1	1	
XP_020895396.1	GCF_001417965.1	XP_020895396.1		1	1	
XP_020899736.1	GCF_001417965.1	XP_020899736.1		1	1	
XP_028513448.1	GCF_001417965.1	XP_028513448.1		1	1	
XP_020617151.1	GCF_002042975.1	XP_020617151.1		1	1	
XP_020624439.1	GCF_002042975.1	XP_020624439.1		1	1	
XP_020624440.1	GCF_002042975.1	XP_020624440.1		1	1	
XP_020624442.1	GCF_002042975.1	XP_020624442.1		1	1	
XP_020624443.1	GCF_002042975.1	XP_020624443.1		1	1	
XP_020624444.1	GCF_002042975.1	XP_020624444.1		1	1	
XP_020624445.1	GCF_002042975.1	XP_020624445.1		1	1	
XP_020624446.1	GCF_002042975.1	XP_020624446.1		1	1	
XP_020624447.1	GCF_002042975.1	XP_020624447.1		1	1	
XP_020627612.1	GCF_002042975.1	XP_020627612.1		1	1	
XP_020627613.1	GCF_002042975.1	XP_020627613.1		1	1	
XP_022795429.1	GCF_002571385.2	XP_022795429.1		1	1	
XP_022795430.1	GCF_002571385.2	XP_022795430.1		1	1	
XP_022805495.1	GCF_002571385.2	XP_022805495.1		1	1	
XP_022805496.1	GCF_002571385.2	XP_022805496.1		1	1	
XP_022805497.1	GCF_002571385.2	XP_022805497.1		1	1	
XP_022805498.1	GCF_002571385.2	XP_022805498.1		1	1	
XP_022807973.1	GCF_002571385.2	XP_022807973.1		1	1	
XP_027036838.1	GCF_003704095.1	XP_027036838.1		1	1	
XP_027045860.1	GCF_003704095.1	XP_027045860.1		1	1	
XP_029191716.1	GCF_004143615.1	XP_029191716.1		1	1	
XP_029191717.1	GCF_004143615.1	XP_029191717.1		1	1	
