protein accession	genome accession	sequence accession	start label	start aa 1b	protein start aa 1b	end aa 1b
KAJ7381066.1	GCA_029204205.1	KAJ7381066.1		1	1	
KAJ7381067.1	GCA_029204205.1	KAJ7381067.1		1	1	
KAK2566197.1	GCA_032359415.1	KAK2566197.1		1	1	
KAK3747337.1	GCA_033675265.1	KAK3747337.1		1	1	
CAB3996864.1	GCA_902702795.2	CAB3996864.1		1	1	
CAB3996865.1	GCA_902702795.2	CAB3996865.1		1	1	
CAH3020388.1	GCA_942486025.1	CAH3020388.1		1	1	
CAH3170625.1	GCA_942486035.1	CAH3170625.1		1	1	
CAH3117579.1	GCA_942486045.1	CAH3117579.1		1	1	
XP_032238097.1	GCF_000209225.1	XP_032238097.1		1	1	
XP_032238098.1	GCF_000209225.1	XP_032238098.1		1	1	
XP_015767257.1	GCF_000222465.1	XP_015767257.1		1	1	
XP_015767853.1	GCF_000222465.1	XP_015767853.1		1	1	
XP_020916761.1	GCF_001417965.1	XP_020916761.1		1	1	
XP_020612800.1	GCF_002042975.1	XP_020612800.1		1	1	
XP_022778241.1	GCF_002571385.2	XP_022778241.1		1	1	
XP_027057467.1	GCF_003704095.1	XP_027057467.1		1	1	
XP_027057468.1	GCF_003704095.1	XP_027057468.1		1	1	
XP_029198687.1	GCF_004143615.1	XP_029198687.1		1	1	
XP_029198688.1	GCF_004143615.1	XP_029198688.1		1	1	
XP_029198689.1	GCF_004143615.1	XP_029198689.1		1	1	
XP_031568187.1	GCF_009602425.1	XP_031568187.1		1	1	
XP_065051386.1	GCF_013076305.1	XP_065051386.1		1	1	
XP_065051387.1	GCF_013076305.1	XP_065051387.1		1	1	
XP_065051388.1	GCF_013076305.1	XP_065051388.1		1	1	
XP_065051389.1	GCF_013076305.1	XP_065051389.1		1	1	
XP_065051390.1	GCF_013076305.1	XP_065051390.1		1	1	
XP_029198687.2	GCF_013753865.1	XP_029198687.2		1	1	
XP_029198688.2	GCF_013753865.1	XP_029198688.2		1	1	
XP_029198689.2	GCF_013753865.1	XP_029198689.2		1	1	
XP_046859297.1	GCF_021976095.1	XP_046859297.1		1	1	
XP_058972087.1	GCF_030620025.1	XP_058972087.1		1	1	
XP_067053022.1	GCF_036669905.1	XP_067053022.1		1	1	
XP_067053024.1	GCF_036669905.1	XP_067053024.1		1	1	
XP_058972087.2	GCF_036669915.1	XP_058972087.2		1	1	
XP_066020672.1	GCF_036669915.1	XP_066020672.1		1	1	
XP_066020673.1	GCF_036669915.1	XP_066020673.1		1	1	
XP_068722170.1	GCF_036669925.1	XP_068722170.1		1	1	
XP_068722171.1	GCF_036669925.1	XP_068722171.1		1	1	
XP_068702195.1	GCF_036669935.1	XP_068702195.1		1	1	
XP_068702204.1	GCF_036669935.1	XP_068702204.1		1	1	
XP_065661149.1	GCF_038396675.1	XP_065661149.1		1	1	
XP_065661150.1	GCF_038396675.1	XP_065661150.1		1	1	
XP_032238097.2	GCF_932526225.1	XP_032238097.2		1	1	
XP_032238098.2	GCF_932526225.1	XP_032238098.2		1	1	
XP_073234420.1	GCF_958299795.1	XP_073234420.1		1	1	
XP_073234421.1	GCF_958299795.1	XP_073234421.1		1	1	
