transcript_id	locus_id	rank	score	raw_score	strand	transcript_length	locus_length	transcript_coverage	identity	gap_count	gap_bases	transcript_start	transcript_end	locus_start	locus_end
orbicella_host_TRINITY_DN213606_c2_g3_i2_7_864	XP_020614060.1_cds-ikb_like-1	1	99.41724941724942	1706.0	+	858	1296	1.0	0.9976689976689976	0	0	0	858	429	1287
orbicella_host_TRINITY_DN213606_c2_g3_i2_7_864	XP_020604255.1_cds_ikba-like	2	3.613053613053613	62.0	+	858	1107	0.15268065268065267	0.8015267175572519	11	26	489	633	735	879
orbicella_host_TRINITY_DN213606_c2_g3_i2_7_864	XP_020614015.1_cds_ikb-like-2	3	3.2051282051282053	55.0	+	858	1143	0.15734265734265734	0.7703703703703704	10	20	580	725	841	986
orbicella_host_TRINITY_DN213606_c2_g3_i2_7_864	XP_020612557.1_cds_p105-like_fixed	4	2.331002331002331	40.0	+	858	2432	0.06993006993006994	0.85	6	11	358	421	1840	1908
orbicella_host_TRINITY_DN221067_c44_g7_i2_1942_833	XP_020604255.1_cds_ikba-like	1	96.53153153153153	2143.0	+	1110	1107	0.9675675675675676	0.9990689013035382	0	0	0	1074	3	1077
orbicella_host_TRINITY_DN221067_c44_g7_i2_1942_833	XP_020612557.1_cds_p105-like_fixed	2	3.3783783783783785	75.0	+	1110	2432	0.14594594594594595	0.7716049382716049	11	20	844	1016	2082	2254
orbicella_host_TRINITY_DN221067_c44_g7_i2_1942_833	XP_020614060.1_cds-ikb_like-1	3	2.7927927927927927	62.0	+	1110	1296	0.11801801801801802	0.8015267175572519	11	26	732	876	918	1062
orbicella_host_TRINITY_DN221067_c44_g7_i2_1942_833	XP_020614015.1_cds_ikb-like-2	4	1.4414414414414414	32.0	+	1110	1143	0.027927927927927927	0.8064516129032258	0	0	374	405	419	450
orbicella_host_TRINITY_DN213606_c2_g3_i2_175_759	XP_020614060.1_cds-ikb_like-1	1	99.14529914529915	1160.0	+	585	1296	1.0	0.9965811965811966	0	0	0	585	597	1182
orbicella_host_TRINITY_DN213606_c2_g3_i2_175_759	XP_020604255.1_cds_ikba-like	2	5.299145299145299	62.0	+	585	1107	0.22393162393162394	0.8015267175572519	11	26	321	465	735	879
orbicella_host_TRINITY_DN213606_c2_g3_i2_175_759	XP_020614015.1_cds_ikb-like-2	3	4.700854700854701	55.0	+	585	1143	0.23076923076923078	0.7703703703703704	10	20	412	557	841	986
orbicella_host_TRINITY_DN213606_c2_g3_i2_175_759	XP_020612557.1_cds_p105-like_fixed	4	3.4188034188034186	40.0	+	585	2432	0.10256410256410256	0.85	6	11	190	253	1840	1908
orbicella_host_TRINITY_DN220613_c2_g1_i3_211_993	XP_020612557.1_cds_p105-like_fixed	1	99.74457215836526	1562.0	+	783	2432	0.9974457215836526	1.0	0	0	0	781	0	781
orbicella_host_TRINITY_DN220613_c2_g1_i3_211_993	XP_020614060.1_cds-ikb_like-1	2	1.5964240102171137	25.0	+	783	1296	0.09961685823754789	0.8717948717948718	13	29	16	116	334	419
orbicella_host_TRINITY_DN220613_c2_g1_i3_211_993	XP_020614015.1_cds_ikb-like-2	3	1.5964240102171137	25.0	+	783	1143	0.024265644955300127	1.0	2	5	558	582	1075	1094
orbicella_host_TRINITY_DN220613_c2_g1_i3_211_993	XP_020604255.1_cds_ikba-like	4	1.5325670498084292	24.0	-	783	1107	0.03065134099616858	0.9166666666666666	2	6	165	189	160	190
