detection_type	detection_method	batch	query_accession	query_database	query_type	target_accession	target_database	target_type	target_model	query_start	query_end	target_start	target_end	evalue	bitscore	bitscore_threshold	custom_metric_name	custom_metric_value
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-1_cnidaria_bf644ce3	GCA_001896105.1	protein	IkB-like-1_cnidaria	50352	50837	1	161	9.5e-30	100.9			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-1_cnidaria_bf644ce3	GCA_001896105.1	protein	IkB-like-1_cnidaria	52824	53213	212	341	1.4e-79	265.1			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-1_cnidaria_bf644ce3	GCA_001896105.1	protein	IkB-like-1_cnidaria	53325	53534	342	411	3.5e-32	108.9			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-1_cnidaria_46b74475	GCA_001896105.1	protein	IkB-like-1_cnidaria	74864	74959	213	244	2.4e-08	30.3			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-1_cnidaria_46b74475	GCA_001896105.1	protein	IkB-like-1_cnidaria	75141	75356	245	312	2.8e-28	96.1			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-1_cnidaria_46b74475	GCA_001896105.1	protein	IkB-like-1_cnidaria	77130	77330	342	408	8.4e-19	64.8			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-2_cnidaria_d6fca7e1	GCA_001896105.1	protein	IkB-like-2_cnidaria	52827	53213	151	284	5.3e-44	147.8			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-2_cnidaria_d6fca7e1	GCA_001896105.1	protein	IkB-like-2_cnidaria	53325	53498	285	343	8.1e-21	71.5			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-2_cnidaria_dffcedc5	GCA_001896105.1	protein	IkB-like-2_cnidaria	52827	53213	151	284	5.3e-44	147.8			
model	hmm	20260922_689799b4	MPSW01000736.1	GCA_001896105.1	contig	MPSW01000736.1_IkB-like-2_cnidaria_dffcedc5	GCA_001896105.1	protein	IkB-like-2_cnidaria	77130	77381	285	368	7.3e-50	167.1			
