Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
KAJ7330771.1,Cytoplasm,Nuclear export signal,Soluble,0.8615999817848206,0.4722999930381775,0.012299999594688416,0.16699999570846558,0.09000000357627869,0.006500000134110451,0.08229999989271164,0.13179999589920044,0.1251000016927719,0.02160000056028366,0.3871000111103058,0.03229999914765358,0.1890999972820282,0.9054999947547913
KAJ7378236.1,Cytoplasm|Nucleus,Nuclear export signal,Soluble,0.5946999788284302,0.5636000037193298,0.05079999938607216,0.3312999904155731,0.335099995136261,0.008899999782443047,0.16599999368190765,0.1071000024676323,0.13230000436306,0.008799999952316284,0.43059998750686646,0.03370000049471855,0.25850000977516174,0.8823000192642212
KAK2566508.1,Nucleus,Nuclear localization signal,Soluble,0.4138000011444092,0.8805999755859375,0.07900000363588333,0.09000000357627869,0.10490000247955322,0.006500000134110451,0.02590000070631504,0.05299999937415123,0.03269999846816063,0.007199999876320362,0.30889999866485596,0.02459999918937683,0.21950000524520874,0.9359999895095825
KAK3739735.1,Nucleus,Nuclear localization signal,Soluble,0.41130000352859497,0.8952000141143799,0.029600000008940697,0.1356000006198883,0.08030000329017639,0.0052999998442828655,0.04170000180602074,0.04089999943971634,0.03319999948143959,0.003700000001117587,0.32019999623298645,0.03590000048279762,0.06599999964237213,0.9115999937057495
CAB4012946.1,Nucleus,Nuclear localization signal,Soluble,0.35600000619888306,0.8241000175476074,0.09730000048875809,0.13130000233650208,0.0754999965429306,0.031300000846385956,0.09929999709129333,0.020999999716877937,0.05920000001788139,0.0851999968290329,0.2508000135421753,0.11879999935626984,0.2655999958515167,0.8826000094413757
CAB4029555.1,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.592199981212616,0.6308000087738037,0.07639999687671661,0.2371000051498413,0.12139999866485596,0.01979999989271164,0.14990000426769257,0.12229999899864197,0.25049999356269836,0.006099999882280827,0.42410001158714294,0.03709999844431877,0.0989999994635582,0.8756999969482422
CAB4029556.1,Nucleus,Nuclear localization signal,Soluble,0.3601999878883362,0.8866000175476074,0.07339999824762344,0.05609999969601631,0.053700000047683716,0.012500000186264515,0.10379999876022339,0.04280000180006027,0.1266999989748001,0.010999999940395355,0.36899998784065247,0.03830000013113022,0.09860000014305115,0.8952000141143799
CAH3027367.1,Nucleus,Nuclear localization signal,Soluble,0.42800000309944153,0.8787999749183655,0.09000000357627869,0.06909999996423721,0.08829999715089798,0.00800000037997961,0.02410000003874302,0.09189999848604202,0.032600000500679016,0.008200000040233135,0.32409998774528503,0.0215000007301569,0.1979999989271164,0.9226999878883362
CAH3198638.1,Nucleus,Nuclear export signal,Soluble,0.41429999470710754,0.9269999861717224,0.012299999594688416,0.06689999997615814,0.10109999775886536,0.020099999383091927,0.03240000084042549,0.029899999499320984,0.06279999762773514,0.023099999874830246,0.3458999991416931,0.020600000396370888,0.17419999837875366,0.9351000189781189
CAH3158544.1,Nucleus,,Soluble,0.392300009727478,0.9228000044822693,0.009999999776482582,0.049800001084804535,0.10130000114440918,0.015200000256299973,0.018699999898672104,0.019099999219179153,0.046799998730421066,0.04149999842047691,0.35740000009536743,0.024000000208616257,0.1988999992609024,0.921500027179718
